"","stno","east","north","t","y"
"9302",2,351907.094302727,365928.827241271,32,24.4862728196219
"9602",2,351907.094302727,365928.827241271,33,56.3883105388622
"9902",2,351907.094302727,365928.827241271,34,48.0236631421129
"10202",2,351907.094302727,365928.827241271,35,87.244424911231
"10502",2,351907.094302727,365928.827241271,36,64.6283327090172
"10802",2,351907.094302727,365928.827241271,37,86.5578082463218
"11102",2,351907.094302727,365928.827241271,38,85.1273218564767
"11402",2,351907.094302727,365928.827241271,39,43.9673774679924
"11702",2,351907.094302727,365928.827241271,40,52.9362331325865
"12002",2,351907.094302727,365928.827241271,41,33.3401128085755
"12302",2,351907.094302727,365928.827241271,42,18.0878370953527
"12602",2,351907.094302727,365928.827241271,43,8.23427716583937
"12902",2,351907.094302727,365928.827241271,44,23.2548051630402
"13202",2,351907.094302727,365928.827241271,45,84.0686490706318
"13502",2,351907.094302727,365928.827241271,46,139.425309660767
"13802",2,351907.094302727,365928.827241271,47,70.2519865580815
"14102",2,351907.094302727,365928.827241271,48,76.7646999213943
"14402",2,351907.094302727,365928.827241271,49,72.3167981247779
"14702",2,351907.094302727,365928.827241271,50,51.9262156810467
"15002",2,351907.094302727,365928.827241271,51,7.66277185789763
"15302",2,351907.094302727,365928.827241271,52,53.256682714485
"15602",2,351907.094302727,365928.827241271,53,31.8990084130925
"15902",2,351907.094302727,365928.827241271,54,62.8695914699131
"16202",2,351907.094302727,365928.827241271,55,50.0989135792636
"16502",2,351907.094302727,365928.827241271,56,19.4507090711767
"16802",2,351907.094302727,365928.827241271,57,75.7804682944165
"17102",2,351907.094302727,365928.827241271,58,58.7746513200264
"17402",2,351907.094302727,365928.827241271,59,36.3255726529798
"17702",2,351907.094302727,365928.827241271,60,32.0555271178453
"18002",2,351907.094302727,365928.827241271,61,26.6172215582229
"18302",2,351907.094302727,365928.827241271,62,17.7261366239701
"18602",2,351907.094302727,365928.827241271,63,8.30616601320553
"18902",2,351907.094302727,365928.827241271,64,10.9862055130719
"19202",2,351907.094302727,365928.827241271,65,40.7420489764605
"19502",2,351907.094302727,365928.827241271,66,21.8523020594778
"19802",2,351907.094302727,365928.827241271,67,18.842440149202
"20102",2,351907.094302727,365928.827241271,68,66.5241371613072
"20402",2,351907.094302727,365928.827241271,69,99.7441635120091
"20702",2,351907.094302727,365928.827241271,70,133.544959251504
"21002",2,351907.094302727,365928.827241271,71,144.505174936849
"21302",2,351907.094302727,365928.827241271,72,141.64001203138
"21602",2,351907.094302727,365928.827241271,73,165.850492137192
"21902",2,351907.094302727,365928.827241271,74,108.067233851813
"22202",2,351907.094302727,365928.827241271,75,81.8627850306171
"22502",2,351907.094302727,365928.827241271,76,38.3849187882882
"22802",2,351907.094302727,365928.827241271,77,41.5713914440494
"23102",2,351907.094302727,365928.827241271,78,95.029321782706
"23402",2,351907.094302727,365928.827241271,79,189.551278484513
"23702",2,351907.094302727,365928.827241271,80,98.9504488923809
"24002",2,351907.094302727,365928.827241271,81,85.3619209930978
"24302",2,351907.094302727,365928.827241271,82,78.873262213839
"24602",2,351907.094302727,365928.827241271,83,55.3588561297536
"24902",2,351907.094302727,365928.827241271,84,49.3770433269011
"25202",2,351907.094302727,365928.827241271,85,104.359586528272
"25502",2,351907.094302727,365928.827241271,86,116.54715915483
"25802",2,351907.094302727,365928.827241271,87,96.7553460161933
"26102",2,351907.094302727,365928.827241271,88,80.1202107446473
"26402",2,351907.094302727,365928.827241271,89,57.6135265697808
"26702",2,351907.094302727,365928.827241271,90,33.3760155837684
"27002",2,351907.094302727,365928.827241271,91,18.8946263380079
"27302",2,351907.094302727,365928.827241271,92,71.2491807431133
"27602",2,351907.094302727,365928.827241271,93,125.846073229763
"27902",2,351907.094302727,365928.827241271,94,183.883237396277
"28202",2,351907.094302727,365928.827241271,95,225.191664508396
"28502",2,351907.094302727,365928.827241271,96,147.419061818554
"28802",2,351907.094302727,365928.827241271,97,145.404353964237
"29102",2,351907.094302727,365928.827241271,98,152.117065785129
"29402",2,351907.094302727,365928.827241271,99,123.552940501512
"29702",2,351907.094302727,365928.827241271,100,96.8896822843435
"30002",2,351907.094302727,365928.827241271,101,69.4277812621691
"30302",2,351907.094302727,365928.827241271,102,82.0779257347228
"30602",2,351907.094302727,365928.827241271,103,81.8172713358584
"30902",2,351907.094302727,365928.827241271,104,115.971454254605
"31202",2,351907.094302727,365928.827241271,105,73.3838801230548
"31502",2,351907.094302727,365928.827241271,106,58.0581191939819
"31802",2,351907.094302727,365928.827241271,107,19.5612225700025
"32102",2,351907.094302727,365928.827241271,108,8.48303498576642
"32402",2,351907.094302727,365928.827241271,109,3.05326629332821
"32702",2,351907.094302727,365928.827241271,110,8.79874606653842
"33002",2,351907.094302727,365928.827241271,111,0.15032145289266
"33302",2,351907.094302727,365928.827241271,112,1.83859753109961
"33602",2,351907.094302727,365928.827241271,113,3.91266351181115
"33902",2,351907.094302727,365928.827241271,114,5.08686318071077
"34202",2,351907.094302727,365928.827241271,115,81.5019184807245
"34502",2,351907.094302727,365928.827241271,116,52.7872546518929
"34802",2,351907.094302727,365928.827241271,117,90.6788679528073
"35102",2,351907.094302727,365928.827241271,118,128.458399713565
"35402",2,351907.094302727,365928.827241271,119,200.376335978891
"35702",2,351907.094302727,365928.827241271,120,160.243400583472
"3",3,217662.094975531,312584.076343058,1,234.767800209642
"303",3,217662.094975531,312584.076343058,2,260.701326804893
"603",3,217662.094975531,312584.076343058,3,230.701464664195
"903",3,217662.094975531,312584.076343058,4,98.3359071484603
"1203",3,217662.094975531,312584.076343058,5,50.3066403699627
"1503",3,217662.094975531,312584.076343058,6,74.6988463672148
"1803",3,217662.094975531,312584.076343058,7,78.2707572798722
"2103",3,217662.094975531,312584.076343058,8,94.0101803713184
"2403",3,217662.094975531,312584.076343058,9,43.8794149471347
"2703",3,217662.094975531,312584.076343058,10,19.4612354865247
"3003",3,217662.094975531,312584.076343058,11,14.6052861103684
"3303",3,217662.094975531,312584.076343058,12,90.3089229889232
"3603",3,217662.094975531,312584.076343058,13,76.2335855588007
"3903",3,217662.094975531,312584.076343058,14,139.471180928361
"4203",3,217662.094975531,312584.076343058,15,37.2624535226619
"4503",3,217662.094975531,312584.076343058,16,49.1225336863145
"4803",3,217662.094975531,312584.076343058,17,122.064668529896
"5103",3,217662.094975531,312584.076343058,18,151.185047622315
"5403",3,217662.094975531,312584.076343058,19,116.30787923364
"5703",3,217662.094975531,312584.076343058,20,121.71092756633
"6003",3,217662.094975531,312584.076343058,21,47.0257664449565
"6303",3,217662.094975531,312584.076343058,22,67.2059364692971
"6603",3,217662.094975531,312584.076343058,23,54.8948647521393
"6903",3,217662.094975531,312584.076343058,24,44.4470329730986
"7203",3,217662.094975531,312584.076343058,25,26.6327494207301
"7503",3,217662.094975531,312584.076343058,26,60.9892696407249
"7803",3,217662.094975531,312584.076343058,27,47.2368801273252
"8103",3,217662.094975531,312584.076343058,28,113.560430717056
"8403",3,217662.094975531,312584.076343058,29,70.3119332767439
"8703",3,217662.094975531,312584.076343058,30,104.804499046988
"9003",3,217662.094975531,312584.076343058,31,58.353306225135
"9303",3,217662.094975531,312584.076343058,32,26.7441673673195
"9603",3,217662.094975531,312584.076343058,33,74.2751032008041
"9903",3,217662.094975531,312584.076343058,34,47.1055446482009
"10203",3,217662.094975531,312584.076343058,35,75.7043191720916
"10503",3,217662.094975531,312584.076343058,36,103.604658968558
"10803",3,217662.094975531,312584.076343058,37,103.634993718687
"11103",3,217662.094975531,312584.076343058,38,158.1616312483
"11403",3,217662.094975531,312584.076343058,39,91.6789529335857
"11703",3,217662.094975531,312584.076343058,40,71.0306493888017
"12003",3,217662.094975531,312584.076343058,41,64.6717121238387
"12303",3,217662.094975531,312584.076343058,42,49.5881129875869
"12603",3,217662.094975531,312584.076343058,43,34.4206513715126
"12903",3,217662.094975531,312584.076343058,44,29.5539323500842
"13203",3,217662.094975531,312584.076343058,45,99.4655230895552
"13503",3,217662.094975531,312584.076343058,46,164.182845381997
"13803",3,217662.094975531,312584.076343058,47,71.9078858560385
"14103",3,217662.094975531,312584.076343058,48,119.827991663147
"14403",3,217662.094975531,312584.076343058,49,118.015199895618
"14703",3,217662.094975531,312584.076343058,50,57.272100929489
"15003",3,217662.094975531,312584.076343058,51,38.464659258447
"15303",3,217662.094975531,312584.076343058,52,111.908330888629
"15603",3,217662.094975531,312584.076343058,53,86.2148727006524
"15903",3,217662.094975531,312584.076343058,54,165.206521630046
"16203",3,217662.094975531,312584.076343058,55,148.116678848733
"16503",3,217662.094975531,312584.076343058,56,89.1272333754474
"16803",3,217662.094975531,312584.076343058,57,88.2785730301588
"17103",3,217662.094975531,312584.076343058,58,88.944572341994
"17403",3,217662.094975531,312584.076343058,59,57.3959229743482
"17703",3,217662.094975531,312584.076343058,60,29.2700438094307
"18003",3,217662.094975531,312584.076343058,61,26.4054032114203
"18303",3,217662.094975531,312584.076343058,62,33.7479770642101
"18603",3,217662.094975531,312584.076343058,63,33.4746341245802
"18903",3,217662.094975531,312584.076343058,64,44.826530407997
"19203",3,217662.094975531,312584.076343058,65,77.4375699418265
"19503",3,217662.094975531,312584.076343058,66,55.2553513529395
"19803",3,217662.094975531,312584.076343058,67,51.5988699673291
"20103",3,217662.094975531,312584.076343058,68,118.895538301583
"20403",3,217662.094975531,312584.076343058,69,132.768993161604
"20703",3,217662.094975531,312584.076343058,70,95.8303360806948
"21003",3,217662.094975531,312584.076343058,71,139.831467896135
"21303",3,217662.094975531,312584.076343058,72,98.4431053527084
"21603",3,217662.094975531,312584.076343058,73,106.299288988289
"21903",3,217662.094975531,312584.076343058,74,81.7466750977608
"22203",3,217662.094975531,312584.076343058,75,55.4898624952467
"22503",3,217662.094975531,312584.076343058,76,23.8522194336452
"22803",3,217662.094975531,312584.076343058,77,38.2318768670533
"23103",3,217662.094975531,312584.076343058,78,102.962469096369
"23403",3,217662.094975531,312584.076343058,79,182.515731669534
"23703",3,217662.094975531,312584.076343058,80,137.164355483406
"24003",3,217662.094975531,312584.076343058,81,88.7120535012164
"24303",3,217662.094975531,312584.076343058,82,108.12596735222
"24603",3,217662.094975531,312584.076343058,83,97.6039886292454
"24903",3,217662.094975531,312584.076343058,84,69.4559017375171
"25203",3,217662.094975531,312584.076343058,85,140.409125368779
"25503",3,217662.094975531,312584.076343058,86,179.891109821476
"25803",3,217662.094975531,312584.076343058,87,128.562822106721
"26103",3,217662.094975531,312584.076343058,88,113.939576719075
"26403",3,217662.094975531,312584.076343058,89,115.991785885286
"26703",3,217662.094975531,312584.076343058,90,90.5350192844687
"27003",3,217662.094975531,312584.076343058,91,93.1150053401765
"27303",3,217662.094975531,312584.076343058,92,124.30739552178
"27603",3,217662.094975531,312584.076343058,93,125.391622297608
"27903",3,217662.094975531,312584.076343058,94,181.367281510479
"28203",3,217662.094975531,312584.076343058,95,229.544019520065
"28503",3,217662.094975531,312584.076343058,96,156.135021025615
"28803",3,217662.094975531,312584.076343058,97,185.549250511888
"29103",3,217662.094975531,312584.076343058,98,141.084431507456
"29403",3,217662.094975531,312584.076343058,99,152.358622011814
"29703",3,217662.094975531,312584.076343058,100,105.447230112229
"30003",3,217662.094975531,312584.076343058,101,98.7029801102418
"30303",3,217662.094975531,312584.076343058,102,87.1779163345582
"30603",3,217662.094975531,312584.076343058,103,85.7751150405229
"30903",3,217662.094975531,312584.076343058,104,131.66080635641
"31203",3,217662.094975531,312584.076343058,105,85.4227614006114
"31503",3,217662.094975531,312584.076343058,106,56.1948047757841
"31803",3,217662.094975531,312584.076343058,107,15.7145559775811
"32103",3,217662.094975531,312584.076343058,108,15.1233388999055
"32403",3,217662.094975531,312584.076343058,109,11.4696410720268
"32703",3,217662.094975531,312584.076343058,110,19.2005810751854
"33003",3,217662.094975531,312584.076343058,111,2.22677582681102
"33303",3,217662.094975531,312584.076343058,112,14.6266813729752
"33603",3,217662.094975531,312584.076343058,113,12.5590651538347
"33903",3,217662.094975531,312584.076343058,114,11.0947088806446
"34203",3,217662.094975531,312584.076343058,115,60.0398840546727
"34503",3,217662.094975531,312584.076343058,116,17.066359349968
"34803",3,217662.094975531,312584.076343058,117,91.3956471063384
"35103",3,217662.094975531,312584.076343058,118,188.206576846057
"35403",3,217662.094975531,312584.076343058,119,219.049551870032
"35703",3,217662.094975531,312584.076343058,120,229.196317575677
"4",4,158090.683752925,184296.751241546,1,201.243172821575
"304",4,158090.683752925,184296.751241546,2,239.134561086433
"604",4,158090.683752925,184296.751241546,3,197.502567158199
"904",4,158090.683752925,184296.751241546,4,141.308991880793
"1204",4,158090.683752925,184296.751241546,5,72.1441845982659
"1504",4,158090.683752925,184296.751241546,6,103.018138040612
"1804",4,158090.683752925,184296.751241546,7,105.345934799634
"2104",4,158090.683752925,184296.751241546,8,106.881071198755
"2404",4,158090.683752925,184296.751241546,9,49.6668269414372
"2704",4,158090.683752925,184296.751241546,10,22.8135560015767
"3004",4,158090.683752925,184296.751241546,11,14.635869790039
"3304",4,158090.683752925,184296.751241546,12,76.1836795075816
"3604",4,158090.683752925,184296.751241546,13,79.9812858932141
"3904",4,158090.683752925,184296.751241546,14,138.188745778343
"4204",4,158090.683752925,184296.751241546,15,52.5179219345744
"4504",4,158090.683752925,184296.751241546,16,65.6161332524698
"4804",4,158090.683752925,184296.751241546,17,130.977629285868
"5104",4,158090.683752925,184296.751241546,18,155.361054732147
"5404",4,158090.683752925,184296.751241546,19,94.9930219969409
"5704",4,158090.683752925,184296.751241546,20,107.558276381514
"6004",4,158090.683752925,184296.751241546,21,50.6288086919342
"6304",4,158090.683752925,184296.751241546,22,47.4979232798928
"6604",4,158090.683752925,184296.751241546,23,36.1169492875267
"6904",4,158090.683752925,184296.751241546,24,51.7617646539527
"7204",4,158090.683752925,184296.751241546,25,28.3306314004219
"7504",4,158090.683752925,184296.751241546,26,51.57941927616
"7804",4,158090.683752925,184296.751241546,27,58.750692042085
"8104",4,158090.683752925,184296.751241546,28,146.191119102903
"8404",4,158090.683752925,184296.751241546,29,89.1875607755891
"8704",4,158090.683752925,184296.751241546,30,153.086215145877
"9004",4,158090.683752925,184296.751241546,31,111.596814551024
"9304",4,158090.683752925,184296.751241546,32,75.3304995841878
"9604",4,158090.683752925,184296.751241546,33,141.775409608099
"9904",4,158090.683752925,184296.751241546,34,133.845832040356
"10204",4,158090.683752925,184296.751241546,35,111.146893426825
"10504",4,158090.683752925,184296.751241546,36,154.923693245571
"10804",4,158090.683752925,184296.751241546,37,107.770229281185
"11104",4,158090.683752925,184296.751241546,38,139.045018545911
"11404",4,158090.683752925,184296.751241546,39,118.180773500607
"11704",4,158090.683752925,184296.751241546,40,105.68544269289
"12004",4,158090.683752925,184296.751241546,41,132.893078975884
"12304",4,158090.683752925,184296.751241546,42,97.4771433341597
"12604",4,158090.683752925,184296.751241546,43,79.3222928509342
"12904",4,158090.683752925,184296.751241546,44,84.5338626358572
"13204",4,158090.683752925,184296.751241546,45,117.943865341259
"13504",4,158090.683752925,184296.751241546,46,166.828826059242
"13804",4,158090.683752925,184296.751241546,47,76.6667111500552
"14104",4,158090.683752925,184296.751241546,48,178.073919955425
"14404",4,158090.683752925,184296.751241546,49,138.328653881235
"14704",4,158090.683752925,184296.751241546,50,73.378844415602
"15004",4,158090.683752925,184296.751241546,51,54.2239751159778
"15304",4,158090.683752925,184296.751241546,52,108.461604573645
"15604",4,158090.683752925,184296.751241546,53,60.1638318448117
"15904",4,158090.683752925,184296.751241546,54,105.334501419554
"16204",4,158090.683752925,184296.751241546,55,88.3818261104823
"16504",4,158090.683752925,184296.751241546,56,60.3042321406483
"16804",4,158090.683752925,184296.751241546,57,58.6281969794855
"17104",4,158090.683752925,184296.751241546,58,81.7565354386521
"17404",4,158090.683752925,184296.751241546,59,67.4433253245756
"17704",4,158090.683752925,184296.751241546,60,52.214136616524
"18004",4,158090.683752925,184296.751241546,61,50.9215881669945
"18304",4,158090.683752925,184296.751241546,62,40.8930149513703
"18604",4,158090.683752925,184296.751241546,63,79.8902591570973
"18904",4,158090.683752925,184296.751241546,64,76.3077962768638
"19204",4,158090.683752925,184296.751241546,65,79.6605756904023
"19504",4,158090.683752925,184296.751241546,66,96.8859895199053
"19804",4,158090.683752925,184296.751241546,67,54.0944484539212
"20104",4,158090.683752925,184296.751241546,68,117.684843547135
"20404",4,158090.683752925,184296.751241546,69,128.550404928749
"20704",4,158090.683752925,184296.751241546,70,125.693545667839
"21004",4,158090.683752925,184296.751241546,71,158.436546144859
"21304",4,158090.683752925,184296.751241546,72,135.48368035964
"21604",4,158090.683752925,184296.751241546,73,140.256610949342
"21904",4,158090.683752925,184296.751241546,74,112.214162784878
"22204",4,158090.683752925,184296.751241546,75,81.1096536484929
"22504",4,158090.683752925,184296.751241546,76,31.2558387934673
"22804",4,158090.683752925,184296.751241546,77,51.6818821118022
"23104",4,158090.683752925,184296.751241546,78,99.8975842604206
"23404",4,158090.683752925,184296.751241546,79,166.017999975208
"23704",4,158090.683752925,184296.751241546,80,152.47167874419
"24004",4,158090.683752925,184296.751241546,81,82.0274708402802
"24304",4,158090.683752925,184296.751241546,82,122.475002588376
"24604",4,158090.683752925,184296.751241546,83,88.5241142214239
"24904",4,158090.683752925,184296.751241546,84,95.0348649884546
"25204",4,158090.683752925,184296.751241546,85,149.416508081322
"25504",4,158090.683752925,184296.751241546,86,147.479021432017
"25804",4,158090.683752925,184296.751241546,87,118.528519015804
"26104",4,158090.683752925,184296.751241546,88,132.197893336482
"26404",4,158090.683752925,184296.751241546,89,98.7877716294157
"26704",4,158090.683752925,184296.751241546,90,87.7113505865938
"27004",4,158090.683752925,184296.751241546,91,72.774153254604
"27304",4,158090.683752925,184296.751241546,92,167.390232400484
"27604",4,158090.683752925,184296.751241546,93,155.326061328383
"27904",4,158090.683752925,184296.751241546,94,221.145216513037
"28204",4,158090.683752925,184296.751241546,95,275.062895099964
"28504",4,158090.683752925,184296.751241546,96,222.494222710743
"28804",4,158090.683752925,184296.751241546,97,325.375281255181
"29104",4,158090.683752925,184296.751241546,98,261.786211017712
"29404",4,158090.683752925,184296.751241546,99,240.175145184775
"29704",4,158090.683752925,184296.751241546,100,198.485578842527
"30004",4,158090.683752925,184296.751241546,101,197.761431297384
"30304",4,158090.683752925,184296.751241546,102,179.21578587198
"30604",4,158090.683752925,184296.751241546,103,171.210007901127
"30904",4,158090.683752925,184296.751241546,104,170.478360491198
"31204",4,158090.683752925,184296.751241546,105,97.5704771953689
"31504",4,158090.683752925,184296.751241546,106,114.436127571945
"31804",4,158090.683752925,184296.751241546,107,68.034444285088
"32104",4,158090.683752925,184296.751241546,108,59.9195821610436
"32404",4,158090.683752925,184296.751241546,109,42.333047417562
"32704",4,158090.683752925,184296.751241546,110,45.2530240199211
"33004",4,158090.683752925,184296.751241546,111,21.0283075963673
"33304",4,158090.683752925,184296.751241546,112,42.0786082160544
"33604",4,158090.683752925,184296.751241546,113,44.6442489274151
